ID,Name,Abbreviation,Capitalized Name,AAIS Number
3,Alabama,AL,ALABAMA,1
4,Arizona,AZ,ARIZONA,2
5,Arkansas,AR,ARKANSAS,3
44,California,CA,CALIFORNIA,4
45,Colorado,CO,COLORADO,5
46,Connecticut,CT,CONNECTICUT,6
49,Delaware,DE,DELAWARE,7
48,District of Columbia,DC,DISTRICT OF COLUMBIA,8
50,Florida,FL,FLORIDA,9
51,Georgia,GA,GEORGIA,10
54,Idaho,ID,IDAHO,11
55,Illinois,IL,ILLINOIS,12
56,Indiana,IN,INDIANA,13
53,Iowa,IA,IOWA,14
57,Kansas,KS,KANSAS,15
41,Kentucky,KY,KENTUCKY,16
23,Louisiana,LA,LOUISIANA,17
60,Maine,ME,MAINE,18
59,Maryland,MD,MARYLAND,19
58,Massachussetts,MA,MASSACHUSETTS,20
61,Michigan,MI,MICHIGAN,21
62,Minnesota,MN,MINNESOTA,22
64,Mississippi,MS,MISSISSIPPI,23
63,Missouri,MO,MISSOURI,24
22,Montana,MT,MONTANA,25
67,Nebraska,NE,NEBRASKA,26
70,Nevada,NV,NEVADA,27
68,New Hampshire,NH,NEW HAMPSHIRE,28
1,New Jersey,NJ,NEW JERSEY,29
69,New Mexico,NM,NEW MEXICO,30
2,New York,NY,NEW YORK,31
65,North Carolina,NC,NORTH CAROLINA,32
66,North Dakota,ND,NORTH DAKOTA,33
71,Ohio,OH,OHIO,34
72,Oklahoma,OK,OKLAHOMA,35
73,Oregon,OR,OREGON,36
74,Pennsylvania,PA,PENNSYLVANIA,37
76,Rhode Island,RI,RHODE ISLAND,38
77,South Carolina,SC,SOUTH CAROLINA,39
78,South Dakota,SD,SOUTH DAKOTA,40
79,Tennessee,TN,TENNESSEE,41
80,Texas,TX,TEXAS,42
81,Utah,UT,UTAH,43
83,Vermont,VT,VERMONT,44
82,Virginia,VA,VIRGINIA,45
84,Washington,WA,WASHINGTON,46
86,West Virginia,WV,WEST VIRGINIA,47
85,Wisconsin,WI,WISCONSIN,48
87,Wyoming,WY,WYOMING,49
52,Hawaii,HI,HAWAII,52
43,Alaska,AK,ALASKA,54
75,Puerto Rico,PR,PUERTO RICO,58
21,Multi-State,MU,MULTISTATE,60
47,Countrywide,CW,COUNTRYWIDE,60
42,All States,AA,ALL STATES,
